NUMBERS;NAME;GROUP;DESCRIPTION;STATUS
E100(i), (ii) ;Curcumins (from turmeric), curcumin(i), turmeric yellow(ii);food colors;Curcumin is the main yellow-orange pigment of turmeric grass (Curcuma longa or saffron from India). It can be isolated by steam distillation, or extracted by chemical extraction solvents. It is used as a natural coloring agent in food products, and can also be produced artificially. Halal if it is pure milled powder of turmeric or granular. Mushbooh if used as a liquid, the solvents must be Halal. Haram if the hidden ingredient is an emulsifier based on pork fat in dry mix. Go carefully with this additive, some industries extract it from PIG FAT (pork fat), according to Dr. M. Amjad Khan: Try to avoid it, since it has PIG FAT (most likely).;Doubtful, should be certified
E101(i),(ii),(iii);"Riboflavin (Vitamin B2), formerly called lactoflavin
- riboflavin, synthetic (i)
- riboflavin 5'-phosphate sodium (ii)
- riboflavin from Bacillus subtilis (iii)";food colors;Natural riboflavin is the vitamin B2 found in wheat bran, eggs, meat and milk, among other things. They are used as natural coloring agents in food products. These dyes are naturally produced in the liver, kidney, eggs, milk and vegetables. They can also be prepared industrially by the synthesis of certain yeasts. E101 gives food a yellow color, but its use is limited by its low solubility. This additives is Mushbooh, Go carefully with this additive, sometimes it can come from pig liver and kidney then it would be Haram. But sometimes it comes from vegetable places.;Doubtful, should be certified
E101a;Riboflavin-5'-Phosphate;food colors;;Doubtful, should be certified
E102;Tartrazine (FD&C Yellow 5);food colors;E102 gives a yellow color to food products and is very soluble in water. The coloration is derived from coal tar. It is used in desserts, custards, custards, cookies, bread, flour, breakfast cereals, sauces, mustards, mayonnaises, soups, smoothies, juices, soft drinks, soft drinks, liquors, alcoholic beverages, cheeses, canned seafood, fish products, canned vegetables, pickles, pasta, chips, snack, sweets and candies. Tartazine, if obtained from a natural source, is soluble in water and is Halal. If it is obtained from a synthetic dye, then it is Halal only if it is mixed with vegetable oil.;Doubtful, should be certified
E103;Alkannin[12];food colors;It is strong yellow. It is obtained derived from petroleum. Belongs to the group of i azo dyes i. It is used in pastry and ice cream production. In small doses can cause problems of hyperactivity in children by the consumption of the dye. This additive is Halal, since it comes synthetic or of vegetable origin.;Halal
E104;Quinoline Yellow WS;food colors;It is an artificial petrochemical compound, yellow or green. E104 is highly soluble in water. It is also used in cosmetics such as hair products, lipsticks and perfumes, as well as in a wide variety of foods. It is potentially carcinogenic, including its production residues and is also neurotoxic. It is better to avoid this additive since it is very toxic to health. There are reports that there is a known risk of hyperactivity in children.;Doubtful, should be certified
E105;Fast Yellow AB;food colors;It is a chemical dye and Halal if used as dry powder. Liquid form is Halal only if Halal solvent was used. It is forbidden in USA & Europe.;Doubtful, should be certified, unsafe
E106;Riboflavin-5-Sodium Phosphate;food colors;From riboflavin and chlorophosphoric acid. Might be from pork.;Doubtful, should be certified
E107;Yellow 2G;food colors;Amarillo 2G is a colorant (synthetic colorant) for foods indicated by the number E107 with the CI18965 color index. It has the appearance of a yellow powder and is soluble in water. It is a synthetic yellow azo dye. Belongs to the group of i azo dyes i Halal if used as a 100% dry color. Mushbooh if used as a liquid color, the solvent has to be Halal.;Unsafe
E110;Sunset Yellow FCF (Orange Yellow S, FD&C Yellow 6);food colors;It is used as a synthetic coloring agent in food and beverage products. E110 is a yellow synthetic coal tar food dye that is highly soluble in water. It is a synthetic azo dye and is generally used in fermented foods that require heat treatment. Some think that E110 worsens asthma and, when taken in combination with benzoates, it induces hyperactivity in some children. People with intolerance to salicylates may also find that they are intolerant to E110, because the coloration is an azo dye. Some reports also mention nausea, severe weight loss and vomiting as side effects of E110. Halal if used as a 100% dry color. Mushbooh if used as a liquid color, the solvent has to be Halal.;Doubtful, should be certified
E111;Orange GGN;food colors;Orange GGN, also known as alpha-naphtha, is an azo dye. In Europe, it was named with the number E111, but its use in food since January 1, 1978 is prohibited. Examples of foods that may include E111: ul li Candies li li Ice creams li li Patisserie li ul It is obtained by synthesis of the feces of some types of rats and mice in their first months of life (for this reason we consider it Haram).;Doubtful, should be certified, unsafe
E120;Cochineal, Carminic acid, Carmine (Natural Red 4);food colors;It is used as a coloring agent in food products and beverages, as well as in cosmetics. It is bright red to dark carmine. It is obtained by crushing insects of the cochineal family (i Dactylopius Coccus i) (Found in Central America) and parasites of some species of cactus. After the acid obtained it is necessary to combine it with aluminum, ammonia, or calcium to extract the shades of colors. It takes 100,000 females to make 1 kilo of product. E120 gives a red color to the products. This coloration is expensive and highly soluble in water. This additive is Haram, because it comes from an insect.;Haram
E121;Citrus Red;food colors;It is orange to red. It is obtained by synthesis of the skin of some citrus fruits such as oranges or grapefruit. It is used in citrus fruits so that it seems that they are already ripe when they have had little time of exposure to the sun, and in pickled products to give reddish color. p In low doses produces bladder and gall bladder stones. In large doses decreases the number of red blood cells and hemoglobin, while increasing the size of the kidneys, liver, and spleen. In the long term it gives degenerative problems in the liver, and different kinds of tumors in mice. Prohibited in Europe since 1977. When coming from orange peel or grapefruit, then it is Halal;Doubtful, should be certified
E122;Carmoisine (azorubine);food colors;It is used as a synthetic coloring agent in food and beverage products, as well as in cosmetics. E122 is a red synthetic coal tar food dye that is highly soluble in water. When it is powder type then it is 100% Halal. But in liquid form it is only Halal in the case that the solvents are Halal. Sometimes in fermented heated food products that may not be Halal.;Doubtful, should be certified
